ID,Target_Campaign_Responsiveness,Target_MntWinesYear,Year_Birth,Income,Kidhome,Teenhome,Recency,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Complain,Dt_Customer_Unix_time_seconds,Education_2n Cycle,Education_Basic,Education_Graduation,Education_Master,Education_PhD,Marital_Status_Absurd,Marital_Status_Alone,Marital_Status_Divorced,Marital_Status_Married,Marital_Status_Single,Marital_Status_Together,Marital_Status_Widow,Marital_Status_YOLO,MntFruitsYear,MntMeatProductsYear,MntFishProductsYear,MntSweetProductsYear,MntGoldProdsYear
5524,1,317.5,0.3035714285714306,0.35108640853442213,0.0,0.0,0.5858585858585859,0.2,0.2962962962962963,0.3571428571428571,0.3076923076923077,0.35000000000000003,0.0,0.051502145922746934,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.44221105527638194,0.3165217391304348,0.6640926640926641,0.33587786259541985,0.27414330218068533
2174,0,5.5,0.25,0.27767992182588835,0.5,0.5,0.38383838383838387,0.13333333333333333,0.037037037037037035,0.03571428571428571,0.15384615384615385,0.25,0.0,0.8383404864091588,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.005025125628140704,0.003478260869565217,0.007722007722007722,0.003816793893129771,0.018691588785046728
4141,0,213.0,0.4464285714285765,0.43495552913790636,0.0,0.0,0.26262626262626265,0.06666666666666667,0.2962962962962963,0.07142857142857142,0.7692307692307693,0.2,0.0,0.5536480686695278,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.24623115577889448,0.0736231884057971,0.4285714285714286,0.08015267175572519,0.1308411214953271
6182,0,5.5,0.7857142857142847,0.1550785164346132,0.5,0.0,0.26262626262626265,0.13333333333333333,0.07407407407407407,0.0,0.3076923076923077,0.30000000000000004,0.0,0.8011444921316198,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.020100502512562814,0.011594202898550725,0.03861003861003861,0.011450381679389313,0.01557632398753894
5324,0,86.5,0.7321428571428612,0.3520511368233676,0.5,0.0,0.9494949494949496,0.3333333333333333,0.18518518518518517,0.10714285714285714,0.46153846153846156,0.25,0.0,0.7696709585121617,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.21608040201005024,0.06840579710144927,0.1776061776061776,0.10305343511450381,0.04672897196261682
7446,0,260.0,0.4821428571428612,0.37831664249659236,0.0,0.5,0.16161616161616163,0.13333333333333333,0.2222222222222222,0.14285714285714285,0.7692307692307693,0.30000000000000004,0.0,0.5808297567954241,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.21105527638190955,0.05681159420289855,0.0,0.16030534351145037,0.04361370716510903
965,0,117.5,0.5535714285714306,0.33550760268132224,0.0,0.5,0.3434343434343435,0.26666666666666666,0.25925925925925924,0.10714285714285714,0.5384615384615385,0.30000000000000004,0.0,0.15164520743919851,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.32663316582914576,0.09507246376811594,0.19305019305019305,0.18702290076335878,0.08411214953271028
6177,0,38.0,0.8035714285714306,0.19745187250648855,0.5,0.0,0.32323232323232326,0.13333333333333333,0.14814814814814814,0.0,0.3076923076923077,0.4,0.0,0.40343347639485216,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.05025125628140704,0.03246376811594203,0.011583011583011584,0.003816793893129771,0.07165109034267912
4855,1,7.0,0.6071428571428612,0.17813863456714818,0.5,0.0,0.19191919191919193,0.06666666666666667,0.1111111111111111,0.0,0.15384615384615385,0.45,0.0,0.4449213161659529,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.013913043478260868,0.011583011583011584,0.011450381679389313,0.006230529595015576
5899,1,14.0,0.1785714285714306,0.02438584152315037,0.5,0.5,0.686868686868687,0.06666666666666667,0.037037037037037035,0.0,0.0,1.0,0.0,0.8454935622317628,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.003478260869565217,0.003861003861003861,0.003816793893129771,0.040498442367601244
387,0,3.0,0.6428571428571459,0.03591278856267933,0.0,0.0,0.595959595959596,0.06666666666666667,0.07407407407407407,0.0,0.23076923076923078,0.4,0.0,0.15164520743919851,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.08040201005025126,0.006376811594202898,0.04247104247104247,0.003816793893129771,0.04984423676012461
2125,0,97.0,0.3392857142857153,0.3815531503046674,0.0,0.0,0.8282828282828284,0.06666666666666667,0.1111111111111111,0.14285714285714285,0.6153846153846154,0.1,0.0,0.6766809728183141,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3065326633165829,0.2782608695652174,0.8687258687258688,0.42748091603053434,0.09345794392523364
8180,0,116.5,0.2142857142857153,0.3586548575625362,0.5,0.5,0.5353535353535354,0.2,0.2222222222222222,0.03571428571428571,0.38461538461538464,0.30000000000000004,0.0,0.6766809728183141,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.010050251256281407,0.03072463768115942,0.011583011583011584,0.019083969465648856,0.04361370716510903
2569,0,1.5,0.8392857142857153,0.09705166586791313,0.0,0.0,0.38383838383838387,0.06666666666666667,0.037037037037037035,0.0,0.23076923076923078,0.4,0.0,0.10300429184549387,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.07035175879396985,0.009855072463768115,0.02316602316602317,0.003816793893129771,0.01557632398753894
2114,1,503.0,0.1071428571428612,0.5045840153858602,0.0,0.0,0.23232323232323235,0.06666666666666667,0.25925925925925924,0.21428571428571427,0.9230769230769231,0.15000000000000002,0.0,0.1673819742489293,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.11055276381909548,0.06666666666666667,0.22779922779922782,0.2595419847328244,0.14018691588785046
9736,0,26.5,0.7142857142857153,0.24970902549994708,0.5,0.5,0.5151515151515152,0.2,0.1111111111111111,0.0,0.23076923076923078,0.4,0.0,0.2103004291845494,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.02512562814070352,0.011014492753623189,0.007722007722007722,0.04961832061068702,0.012461059190031152
4939,0,42.0,0.1071428571428612,0.2242526467787411,0.0,0.0,0.20202020202020204,0.13333333333333333,0.14814814814814814,0.03571428571428571,0.46153846153846156,0.35000000000000003,0.0,0.045779685264665915,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.02512562814070352,0.022028985507246378,0.5791505791505792,0.04580152671755725,0.08722741433021806
6565,1,506.0,0.1607142857142847,0.4684533849514835,0.0,0.5,0.9191919191919192,0.13333333333333333,0.4074074074074074,0.14285714285714285,0.6923076923076923,0.25,0.0,0.3447782546495013,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.4020100502512563,0.288695652173913,0.0,0.061068702290076333,0.5482866043613707
2278,0,2.0,0.8035714285714306,0.1996800836512787,0.5,0.0,0.8686868686868687,0.13333333333333333,0.07407407407407407,0.03571428571428571,0.23076923076923078,0.30000000000000004,0.0,0.1373390557939942,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.08542713567839195,0.011014492753623189,0.11583011583011583,0.0916030534351145,0.12149532710280374
9360,0,43.0,0.75,0.21977132827525253,0.0,0.0,0.4141414141414142,0.06666666666666667,0.14814814814814814,0.07142857142857142,0.38461538461538464,0.4,0.0,0.01287553648068851,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.010050251256281407,0.042318840579710144,0.26640926640926643,0.1450381679389313,0.14953271028037382
5376,0,0.5,0.6964285714285765,0.00446264634305738,0.5,0.0,0.42424242424242425,1.0,0.0,1.0,0.0,0.05,0.0,0.22889842632331892,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.005025125628140704,1.0,0.003861003861003861,0.003816793893129771,0.003115264797507788
1993,1,433.5,0.1607142857142847,0.35400548961516676,0.0,0.5,0.6363636363636365,0.2,0.07407407407407407,0.10714285714285714,0.6923076923076923,0.4,0.0,0.20886981402003002,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.049855072463768114,0.0,0.0,0.059190031152647975
4047,0,192.0,0.25,0.395812456820629,0.0,0.5,0.0,0.2,0.2222222222222222,0.07142857142857142,0.6923076923076923,0.2,0.0,0.7582260371959961,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.059130434782608696,0.08108108108108109,0.12213740458015267,0.01557632398753894
1409,0,135.0,0.1964285714285765,0.24248289941307175,0.0,0.5,0.696969696969697,0.4666666666666667,0.25925925925925924,0.03571428571428571,0.38461538461538464,0.4,0.0,0.3304721030042934,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.01507537688442211,0.01565217391304348,0.15057915057915058,0.022900763358778626,0.308411214953271
